"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant"
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,1,13,0.4,0.2,4,NA,"0-2m",NA,8,"",NA,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,2,13,0.4,0.5,10,NA,"0-2m",NA,8,"",NA,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,3,13,0.25,0.3,10,NA,"0-2m",NA,8,"",NA,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,4,13,0.4,0.1,5,NA,"0-2m",NA,8,"",NA,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",107,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",75,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",75,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",97,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",133,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",75,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",112,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",125,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",81,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",73,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",36,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",154,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Banksia",100,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Casuarina",71,0,0,0,1,0,1,0,0,0,0
"27/06/2015","1:03:27 PM",NA,NA,"Spider Heaven Blue","20x20",NA,0,13,NA,NA,NA,NA,"0-2m",30,8,"Eliandre",52,0,0,0,1,0,1,0,0,0,0
"27/06/2015","9:57:26 AM",NA,NA,"Wallum Heath Blue","20x20m",NA,1,9,0.15,0.1,5,NA,"0-2m",NA,0,"",NA,0,0,0,1,0,0,0,0,0,0
