Date,Time,Group,Distance along tape,Zone,Longitude,Latitude,Dune position,Litter cover,Number active burrows,Number inactive burrows,Total burrows,Number burrows >2cm across,Ratio active burrows,Ratio >2cm across burrows,Number of trees,Number of ground plants,Living ground cover,Angular Pigface,Coast Headland Pea,Beach Morning Glory,Beach Primrose,Beach Sawthistle,Beach Couch,Beach Spinifex,Blady Grass,Blue Flax Lily,Coastal Jack Bean,Coastal Lovegrass,Devils Twine,Dune Oxalis,Emilia,Everlasting Daisy,Hillside Burrgrass,Marine Couch,Mossman River Grass,Native Cobblers Pegs,Scented Fan Flower,Snake Vine,Tape Vine,Yellow Beach Bean,Coastal Banksia,Red Ash,Coastal Canthium,Native Cherry,Coastal Screw Pine,Coastal Wattle,Coastal She oak,Black Wattle,Twiggy Homoranthus,Mangrove Boobialla,Week
27/06/2015,9:02:54 AM,hannahkat,0,0-20m,153.0959439,-25.5961482,Upslope,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:09:35 AM,hannahkat,5,0-20m,153.0958869,-25.5961286,Upslope,0,0,0,0,0,NA,NA,0,1,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:15:07 AM,hannahkat,10,0-20m,153.0958444,-25.59614104,Crest,0.005,0,0,0,0,NA,NA,0,1,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:20:17 AM,hannahkat,15,0-20m,153.0957843,-25.59612971,Trough,0.02,3,1,4,1,0.75,0.25,0,1,0.17,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:24:22 AM,hannahkat,20,0-20m,153.0957503,-25.59610614,Upslope,0.02,0,1,1,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:29:45 AM,hannahkat,25,20-40m,153.0957189,-25.59608085,Upslope,0.03,0,0,0,0,NA,NA,0,2,0.13,0.03,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:33:29 AM,hannahkat,30,20-40m,153.0956491,-25.59611508,Crest,0.35,1,1,2,1,0.5,0.5,0,2,0.1,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:37:08 AM,hannahkat,35,20-40m,153.0956034,-25.59608924,Downslope,0.18,0,1,1,0,0,0,0,2,0.22,0.15,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:45:21 AM,hannahkat,40,20-40m,153.0955525,-25.59611114,Upslope,0.87,1,1,2,1,0.5,0.5,0,3,0.2,0.02,0,0,0,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:50:55 AM,hannahkat,45,40-60m,153.0955025,-25.59611307,Crest,0.58,0,1,1,0,0,0,0,2,0.35,0,0,0,0,0,0.27,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:54:52 AM,hannahkat,50,40-60m,153.0954673,-25.59607642,Downslope,0.55,0,2,2,0,0,0,0,1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,10:01:24 AM,hannahkat,55,40-60m,153.0954189,-25.59610871,Downslope,0.19,0,0,0,0,NA,NA,0,3,1.07,0,0,0,0,0,0.96,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,10:05:27 AM,hannahkat,60,40-60m,153.0953758,-25.59606648,Trough,0.21,0,0,0,0,NA,NA,0,3,0.55,0,0,0,0,0,0.4,0,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,10:13:17 AM,hannahkat,65,60-80m,153.0953242,-25.59603303,Trough,0.56,1,0,1,1,1,1,1,2,0.27,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,10:17:12 AM,hannahkat,70,60-80m,153.0952877,-25.59603121,Upslope,0.16,1,0,1,1,1,1,0,4,0.65,0.08,0,0,0,0,0,0,0.11,0,0,0,0,0.15,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:03:14 AM,Sunshine,0,0-20m,NA,NA,,0.01,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:05:19 AM,Sunshine,0,0-20m,153.0957999,-25.59652354,Upslope,0.01,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:08:18 AM,Sunshine,5,0-20m,NA,NA,Upslope,0,0,0,0,0,NA,NA,0,1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:12:46 AM,Sunshine,10,0-20m,153.0957447,-25.59648694,Crest,0,0,0,0,NA,NA,NA,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:15:08 AM,Sunshine,15,0-20m,153.0956632,-25.59648276,Upslope,0.02,1,0,1,0,1,0,0,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:21:48 AM,Sunshine,20,0-20m,153.095612,-25.5964728,Upslope,0.05,2,0,2,0,1,0,0,2,0.33,0.03,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:24:27 AM,Sunshine,25,20-40m,153.0955781,-25.59647048,Upslope,0.02,1,6,7,2,0.142857143,0.285714286,0,2,0.39,0.09,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:28:59 AM,Sunshine,30,20-40m,153.0955755,-25.5964706,Trough,1,0,0,0,0,NA,NA,1,1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Week 1
27/06/2015,9:32:27 AM,Sunshine,35,20-40m,153.0954906,-25.59646459,Upslope,0.05,0,0,0,0,NA,NA,0,3,1,0.05,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:39:47 AM,Sunshine,40,20-40m,153.0954334,-25.59650286,Upslope,0.15,0,0,0,0,NA,NA,1,2,0.32,0,0,0,0,0,0.3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:43:46 AM,Sunshine,45,40-60m,NA,NA,Downslope,0.8,0,1,1,0,0,0,0,2,0.11,0,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:47:12 AM,Sunshine,50,40-60m,153.0953527,-25.5964651,Downslope,0.75,0,0,0,0,NA,NA,2,3,0.47,0,0,0,0,0,0.25,0,0,0.2,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:51:23 AM,Sunshine,55,40-60m,153.0952844,-25.59646816,Trough,0.3,0,0,0,0,NA,NA,0,2,0.35,0,0,0,0,0,0.1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:53:44 AM,Sunshine,60,40-60m,153.0952192,-25.59647648,Trough,0.5,0,0,0,0,NA,NA,1,2,0.45,0,0,0,0,0,0.05,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Week 1
27/06/2015,9:56:53 AM,Sunshine,65,60-80m,153.0951876,-25.59643729,Trough,0.15,0,0,0,0,NA,NA,1,2,0.6,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Week 1
27/06/2015,9:59:08 AM,Sunshine,70,60-80m,153.0951336,-25.59644274,Trough,0.4,0,0,0,0,NA,NA,2,4,0.42,0,0,0,0,0,0.3,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,1,0,0,0,0,0,1,0,0,0,Week 1
27/06/2015,10:05:28 AM,Sunshine,75,60-80m,153.0950923,-25.59642127,Upslope,1,0,0,0,0,NA,NA,1,3,0.84,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.8,0,0.01,0,1,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,10:11:58 AM,Sunshine,80,60-80m,153.0950273,-25.59641289,Upslope,1,1,0,1,1,1,1,1,3,0.11,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:02:32 AM,tanisha,0,0-20m,153.0958699,-25.59650098,Upslope,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:05:11 AM,tanisha,5,0-20m,153.0957254,-25.59647276,Upslope,0,0,0,0,0,NA,NA,0,1,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:08:18 AM,tanisha,10,0-20m,153.0957548,-25.59642134,Downslope,0,0,0,0,0,NA,NA,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:13:01 AM,tanisha,15,0-20m,153.0957,-25.59634644,Upslope,0.02,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
27/06/2015,9:14:19 AM,tanisha,20,0-20m,153.095671,-25.59634504,Upslope,0.05,0,0,0,0,NA,NA,0,2,0.06,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 1
