"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"yellow duck","Point 100",100,"4/07/2015","8:39:16 AM",153.09650896,-25.59421703,"Upslope",0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"yellow duck","Point 0",0,"4/07/2015","9:12:00 AM",153.09661509,-25.59389885,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow duck","Point 5",5,"4/07/2015","9:18:46 AM",153.09657066,-25.59393456,"Upslope",0,0,1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow duck","Point 10",10,"4/07/2015","9:21:33 AM",153.09652373,-25.59388418,"Downslope",0.01,2,1,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow duck","Point 15",15,"4/07/2015","9:24:38 AM",153.09649576,-25.5938913,"Upslope",0.01,0,1,0,0,0,0.01,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow duck","Point 20",20,"4/07/2015","9:27:47 AM",153.09644821,-25.59385758,"Upslope",0.05,1,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 25",25,"4/07/2015","9:30:51 AM",153.09637518,-25.59384591,"Crest",0.04,1,3,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 30",30,"4/07/2015","9:34:36 AM",153.09633054,-25.59380686,"Downslope",0.4,0,2,2,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 35",35,"4/07/2015","9:39:17 AM",153.09629121,-25.59385765,"Trough",1,0,2,2,0,0,0.1,0,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 40",40,"4/07/2015","9:44:10 AM",153.09624072,-25.59379983,"Upslope",1,0,1,1,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 45",45,"4/07/2015","9:49:35 AM",153.0961944,-25.59382493,"Upslope",1,1,1,1,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"yellow duck","Point 50",50,"4/07/2015","9:53:09 AM",153.09614824,-25.59378777,"Downslope",0.95,0,2,2,0,0,0.01,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 55",55,"4/07/2015","9:55:43 AM",153.09609993,-25.59381536,"Trough",1,1,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow duck","Point 60",60,"4/07/2015","9:57:46 AM",153.09607366,-25.59378101,"Trough",1,0,1,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"yellow duck","Point 65",65,"4/07/2015","10:03:26 AM",153.09599255,-25.5937757,"Trough",1,0,0,0,0,0,0,0,0,0,0,0.8,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0,1,0,0,0
"yellow duck","Point 70",70,"4/07/2015","10:09:21 AM",153.09595762,-25.59376859,"Trough",1,0,1,1,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,1,0,0,0
